score	insns	calls	indirect	branches	dispatch	cop1	cop2	distinct_mem	kind	addr	demangled	file
-8.6	2	0	0	0	0	1	0	0	accessor	0x3eb0f0	StreamNull::GetPan(int)	GetPan__C10StreamNulli_0x3eb0f0.cpp
-8.6	2	0	0	0	0	1	0	0	accessor	0x3eb148	StreamNull::GetSlipOffset(int)	GetSlipOffset__10StreamNulli_0x3eb148.cpp
-8.6	2	0	0	0	0	1	0	0	accessor	0x3eb0d8	StreamNull::GetVolume(int)	GetVolume__C10StreamNulli_0x3eb0d8.cpp
-8.2	2	0	0	0	0	0	0	1	accessor	0x390fb0	CharActive::SetActive(bool)	SetActive__10CharActiveb_0x390fb0.cpp
-8.2	2	0	0	0	0	0	0	1	accessor	0x12f8f8	Shuttle::SetActive(bool)	SetActive__7Shuttleb_0x12f8f8.cpp
-8.2	2	0	0	0	0	0	0	1	accessor	0x294a18	OC3Ent::Face::FxAnimPlayer::SetActor(OC3Ent::Face::FxActor *)	SetActor__Q36OC3Ent4Face12FxAnimPlayerPQ36OC3Ent4Face7FxActor_0x294a18.cpp
-8.2	2	0	0	0	0	0	0	1	accessor	0x3c5400	Rnd::SetAspect(Rnd::Aspect)	SetAspect__3RndQ23Rnd6Aspect_0x3c5400.cpp
-8.2	2	0	0	0	0	0	0	1	accessor	0x1197e0	PlayerMatcher::SetAutoSolo(bool)	SetAutoSolo__13PlayerMatcherb_0x1197e0.cpp
-8.2	2	0	0	0	0	0	0	1	accessor	0x27a1a0	TrackData::SetCaptured(bool)	SetCaptured__9TrackDatab_0x27a1a0.cpp
-8.2	2	0	0	0	0	0	0	1	accessor	0x11c390	SelectGuitarProvider::SetCharacter(?)	SetCharacter__20SelectGuitarProviderG6Symbol_0x11c390.cpp
-8.2	2	0	0	0	0	0	0	1	accessor	0x269e70	MicEE::SetConnected(bool)	SetConnected__5MicEEb_0x269e70.cpp
-8.2	2	0	0	0	0	0	0	1	accessor	0x196670	CharacterTest::SetGameTime(bool)	SetGameTime__13CharacterTestb_0x196670.cpp
-8.2	2	0	0	0	0	0	0	1	accessor	0x2878f8	TrackWatcherImpl::SetIsCurrentTrack(bool)	SetIsCurrentTrack__16TrackWatcherImplb_0x2878f8.cpp
-8.2	2	0	0	0	0	0	0	1	accessor	0x15bb40	TrackConfig::SetLefty(bool)	SetLefty__11TrackConfigb_0x15bb40.cpp
-8.2	2	0	0	0	0	0	0	1	accessor	0x3bbd50	RndLight::SetLightType(RndLight::Type)	SetLightType__8RndLightQ28RndLight4Type_0x3bbd50.cpp
-8.2	2	0	0	0	0	0	0	1	accessor	0x113c08	Player::SetMercurySwitchEnabled(bool)	SetMercurySwitchEnabled__6Playerb_0x113c08.cpp
-8.2	2	0	0	0	0	0	0	1	accessor	0x3f1238	MidiReceiver::SetMidiReader(MidiReader *)	SetMidiReader__12MidiReceiverP10MidiReader_0x3f1238.cpp
-8.2	2	0	0	0	0	0	0	1	accessor	0x16e990	Character::SetMinLod(int)	SetMinLod__9Characteri_0x16e990.cpp
-8.2	2	0	0	0	0	0	0	1	accessor	0x299af8	OC3Ent::Face::FxFaceGraphNode::SetNodeOperation(OC3Ent::Face::FxInputOp)	SetNodeOperation__Q36OC3Ent4Face15FxFaceGraphNodeQ36OC3Ent4Face9FxInputOp_0x299af8.cpp
-8.2	2	0	0	0	0	0	0	1	accessor	0x12ac98	GameConfig::SetNumPlayers(int)	SetNumPlayers__10GameConfigi_0x12ac98.cpp
-8.2	2	0	0	0	0	0	0	1	accessor	0x284720	SongParser::SetNumPlayers(int)	SetNumPlayers__10SongParseri_0x284720.cpp
-8.2	2	0	0	0	0	0	0	1	accessor	0x25af18	RandomGroupSeq::SetNumSimul(int)	SetNumSimul__14RandomGroupSeqi_0x25af18.cpp
-8.2	2	0	0	0	0	0	0	1	accessor	0x2a05e8	OC3Ent::Face::FxGenericTargetProxy::SetParentGenericTargetNode(?)	SetParentGenericTargetNode__Q36OC3Ent4Face20FxGenericTargetProxyPQ36OC3Ent4Face19FxGene_0x2a05e8.cpp
-8.2	2	0	0	0	0	0	0	1	accessor	0x389a00	CharPollable::SetParent(Character *)	SetParent__12CharPollableP9Character_0x389a00.cpp
-8.2	2	0	0	0	0	0	0	1	accessor	0x3da430	UIPanel::SetPaused(bool)	SetPaused__7UIPanelb_0x3da430.cpp
-8.2	2	0	0	0	0	0	0	1	accessor	0x27a1a8	TrackData::SetPlayer(int)	SetPlayer__9TrackDatai_0x27a1a8.cpp
-8.2	2	0	0	0	0	0	0	1	accessor	0x3c4a50	RndParticleSys::SetPreserveParticles(bool)	SetPreserveParticles__14RndParticleSysb_0x3c4a50.cpp
-8.2	2	0	0	0	0	0	0	1	accessor	0x2f0828	JoypadClient::SetRepeatMask(int)	SetRepeatMask__12JoypadClienti_0x2f0828.cpp
-8.2	2	0	0	0	0	0	0	1	accessor	0x283590	SongData::SetSeparateParts(bool)	SetSeparateParts__8SongDatab_0x283590.cpp
-8.2	2	0	0	0	0	0	0	1	accessor	0x2a0820	OC3Ent::Face::FxGenericTargetNode::SetShouldLink(bool)	SetShouldLink__Q36OC3Ent4Face19FxGenericTargetNodeb_0x2a0820.cpp
-8.2	2	0	0	0	0	0	0	1	accessor	0x275c60	MasterAudio::SetSongData(SongData *)	SetSongData__11MasterAudioP8SongData_0x275c60.cpp
-8.2	2	0	0	0	0	0	0	1	accessor	0x17f418	CharDriver::SetStarved(?)	SetStarved__10CharDriverG6Symbol_0x17f418.cpp
-8.2	2	0	0	0	0	0	0	1	accessor	0x3d9fe8	UIComponent::SetState(UIComponent::State)	SetState__11UIComponentQ211UIComponent5State_0x3d9fe8.cpp
-8.2	2	0	0	0	0	0	0	1	accessor	0x3c53e0	Rnd::SetSync(bool)	SetSync__3Rndb_0x3c53e0.cpp
-8.2	2	0	0	0	0	0	0	1	accessor	0x121dd8	StarPower::SetTrack(int)	SetTrack__9StarPoweri_0x121dd8.cpp
-8.2	2	0	0	0	0	0	0	1	accessor	0x108588	GamePanel::SetTutorialRunning(bool)	SetTutorialRunning__9GamePanelb_0x108588.cpp
-8.2	2	0	0	0	0	0	0	1	accessor	0x36da68	SelectGuitarProvider::SetType(?)	SetType__20SelectGuitarProviderG6Symbol_0x36da68.cpp
-8.2	2	0	0	0	0	0	0	1	accessor	0x2daf98	BandStarMeter::SetUsingStarPower(bool)	SetUsingStarPower__13BandStarMeterb_0x2daf98.cpp
-8.2	2	0	0	0	0	0	0	1	accessor	0x12b438	GameConfig::SetVenue(?)	SetVenue__10GameConfigG6Symbol_0x12b438.cpp
-8.2	2	0	0	0	0	0	0	1	accessor	0x241158	ListDisplay::SetVertical(bool)	SetVertical__11ListDisplayb_0x241158.cpp
-8.2	2	0	0	0	0	0	0	1	accessor	0x2f0840	JoypadClient::SetVirtualDpad(bool)	SetVirtualDpad__12JoypadClientb_0x2f0840.cpp
-8.2	2	0	0	0	0	0	0	1	accessor	0x113c00	Player::SetWhammyStarPowerEnabled(bool)	SetWhammyStarPowerEnabled__6Playerb_0x113c00.cpp
-8.1	2	0	0	0	0	1	0	0	accessor	0x3b21b8	RndAnimatable::EndFrame()	EndFrame__13RndAnimatable_0x3b21b8.cpp
-8.1	2	0	0	0	0	1	0	0	accessor	0x3e93b0	MicNull::GetCompressorParam()	GetCompressorParam__C7MicNull_0x3e93b0.cpp
